series_code,series_name,region_id,region_name,frequency,chapter,table_name,sector_id,sector_name,region_parse_method
F035.XSE.FLU.R.CLP.2018.XBI.Z.Z.09.0.A,Exportación Bienes,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",XBI,Exportaciones de bienes,f035_positional
F035.XSE.FLU.R.CLP.2018.XBS.Z.Z.09.0.A,Exportación Servicios,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",XBS,Exportaciones de servicios,f035_positional
F035.XSE.FLU.R.CLP.2018.Z.Z.Z.09.0.A,Región de La Araucanía,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",,,f035_positional
F035.XSE.V12.R.Z.2018.03.Z.Z.09.0.A,Minería,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de La Araucanía, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",03,Minería,f035_positional
F035.XSE.V12.R.Z.2018.04.Z.Z.09.0.A,Industria,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de La Araucanía, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",04,Industria,f035_positional
F035.XSE.V12.R.Z.2018.102.Z.Z.09.0.A,Agropecuario-Silvícola-Pesca,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de La Araucanía, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",102,Agropecuario-silvícola-pesca,f035_positional
F035.XSE.V12.R.Z.2018.XBI.Z.Z.09.0.A,Exportación Bienes,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de La Araucanía, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",XBI,Exportaciones de bienes,f035_positional
F035.XSE.V12.R.Z.2018.XBS.Z.Z.09.0.A,Exportación Servicios,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de La Araucanía, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",XBS,Exportaciones de servicios,f035_positional
F035.XSE.V12.R.Z.2018.XBSSR.Z.Z.09.0.A,Exportaciones de Bienes y Servicios,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de La Araucanía, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",XBSSR,Exportaciones de bienes y servicios,f035_positional
F035.XSE.V12.R.Z.2018.Z.Z.Z.09.0.A,Región de La Araucanía,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios regional, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",,,f035_positional
F049.EVA.STO.INE.19.A,Ambos sexos,09,La Araucanía,A,Género,"Esperanza de vida al nacer por sexo y región, Región de La Araucanía (años)",,,cuadro_name
F049.EVH.STO.INE.19.A,Hombres,09,La Araucanía,A,Género,"Esperanza de vida al nacer por sexo y región, Región de La Araucanía (años)",,,cuadro_name
F049.EVM.STO.INE.19.A,Mujeres,09,La Araucanía,A,Género,"Esperanza de vida al nacer por sexo y región, Región de La Araucanía (años)",,,cuadro_name
F049.POBAR.STO.INE.AT.A,Población total,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.H0014.A,Hombre 0-14 años,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.H1564.A,Hombres 15-64 años,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.H65YM.A,Hombres 65 y más años,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.HT.A,Población total hombres,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.M0014.A,Mujeres 0-14 años,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.M1564.A,Mujeres 15-64 años,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.M65YM.A,Mujeres 65 y más años,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F049.POBAR.STO.INE.MT.A,Población total mujeres,09,La Araucanía,A,Género,"Población por sexo, región y edad, Región de La Araucanía (número de personas)",,,glued_mnemonic
F068.G1.STO.Z.IED.Z.Z.Z.Z.CL.IED.6.RIX.A,Región de La Araucanía,09,La Araucanía,A,Regionales,Stock de Inversión Extranjera Directa (IED) por región (millones de dólares),,,roman_numeral
F034.ICNE.POR.BCCH.Z.RX.A,Región de Los Lagos,10,Los Lagos,A,Estadísticas Experimentales,Indicador de creación neta de empresas por región (%),,,roman_numeral
F034.SEVC.POR.BCCH.Z.RX.A,Región de Los Lagos,10,Los Lagos,A,Estadísticas Experimentales,Supervivencia de empresas al quinto año de su creación por región (%),,,roman_numeral
F034.TEAMV.STO.BCCH.Z.RX.A,Región de Los Lagos,10,Los Lagos,A,Estadísticas Experimentales,Número total de empresas ajustado por meses de venta por región,,,roman_numeral
F034.TEMP.STO.BCCH.Z.RX.A,Región de Los Lagos,10,Los Lagos,A,Estadísticas Experimentales,Número total de empresas por región,,,roman_numeral
F035.CPCP.FLU.R.USD.2018.Z.Z.Z.10.0.A,Región de Los Lagos,10,Los Lagos,A,Regionales,"Consumo de hogares e IPSFL por región, precios corrientes, series empalmadas, referencia 2018 (dólares per cápita)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.BD.10.0.A,Bienes durables,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Los Lagos, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.BND.10.0.A,Bienes no durables,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Los Lagos, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.SER.10.0.A,Servicios,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Los Lagos, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.FLU.N.CLP.2018.Z.Z.Z.10.0.A,Región de Los Lagos,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL por región, precios corrientes, series empalmadas, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.BD.10.0.A,Bienes durables,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Los Lagos, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.BND.10.0.A,Bienes no durables,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Los Lagos, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.CONT.10.0.A,Consumo de hogares de IPSFL,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Los Lagos, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.SER.10.0.A,Servicios,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL, Región de Los Lagos, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.CPRIPSFL.V12.R.CLP.2018.Z.Z.Z.10.0.A,Región de Los Lagos,10,Los Lagos,A,Cuentas Nacionales,"Consumo de hogares e IPSFL por región, contribución porcentual respecto de igual periodo del año anterior, referencia 2018 (Porcentaje)",,,f035_positional
F035.IMB.FLU.R.CLP.1986.13.Z.Z.10.0.A,Menos: imputaciones bancarias,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica, X Región de Los Lagos, base 1986 (millones de pesos)",13,Menos: imputaciones bancarias,f035_positional
F035.IMB.FLU.R.CLP.1996.13.Z.Z.10.0.A,Menos: imputaciones bancarias,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica, X Región de Los Lagos, base 1996 ( millones de pesos)",13,Menos: imputaciones bancarias,f035_positional
F035.PIB.FLU.N.CLP.2008.01.Z.Z.10.0.A,Agropecuario-silvícola,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",01,Agropecuario-silvícola,f035_positional
F035.PIB.FLU.N.CLP.2008.02.04.Z.10.0.A,Pesca,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",02,Pesca,f035_positional
F035.PIB.FLU.N.CLP.2008.03.Z.Z.10.0.A,Minería,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",03,Minería,f035_positional
F035.PIB.FLU.N.CLP.2008.04.Z.Z.10.0.A,Industria manufacturera,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",04,Industria,f035_positional
F035.PIB.FLU.N.CLP.2008.05.Z.Z.10.0.A,"Electricidad, gas, agua y gestión de desechos",10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",05,"Electricidad, gas, agua y gestión de desechos",f035_positional
F035.PIB.FLU.N.CLP.2008.06.Z.Z.10.0.A,Construcción,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",06,Construcción,f035_positional
F035.PIB.FLU.N.CLP.2008.07.Z.Z.10.0.A,"Comercio, restaurantes y hoteles",10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",07,"Comercio, restaurantes y hoteles",f035_positional
F035.PIB.FLU.N.CLP.2008.08.Z.Z.10.0.A,"Transportes, informacion y comunicaciones",10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",08,"Transporte, información y comunicaciones",f035_positional
F035.PIB.FLU.N.CLP.2008.09.21.Z.10.0.A,Servicios de vivienda e inmobiliarios,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",09,Servicios financieros y empresariales,f035_positional
F035.PIB.FLU.N.CLP.2008.10.Z.Z.10.0.A,Propiedad de vivienda,10,Los Lagos,A,Cuentas Nacionales,"PIB por actividad económica,X Región de Los Lagos, precios corrientes, referencia 2008 (millones de pesos)",10,Servicios de vivienda e inmobiliarios,f035_positional
